feature,mean_abs_shap
MorganBit_1060,0.27079025
ESM2_dim_234,0.19311072
MorganBit_1956,0.16408129
MorganBit_1488,0.14201438
MorganBit_1226,0.13977416
MorganBit_1027,0.122042686
MorganBit_1325,0.1200828
MorganBit_1164,0.11983804
MorganBit_1480,0.10402802
MorganBit_1199,0.09663289
MorganBit_1157,0.09404654
ESM2_dim_223,0.089808635
MorganBit_1744,0.08695824
MorganBit_560,0.07905631
ESM2_dim_50,0.073437184
MorganBit_1991,0.06863885
MorganBit_1917,0.065987065
MorganBit_1665,0.06589263
ESM2_dim_132,0.06364575
MorganBit_1472,0.06272237
MorganBit_656,0.06248843
ESM2_dim_241,0.061913554
MorganBit_80,0.059531774
ESM2_dim_5,0.059436947
ESM2_dim_263,0.057756316
MorganBit_12,0.057304267
ESM2_dim_284,0.057078294
ESM2_dim_39,0.05609011
ESM2_dim_161,0.054723553
ESM2_dim_14,0.054262348
